date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:11	67904/67904	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225a614ddc-10940%22	https://uicookies.com/demo/theme/law/assets/fonts/ionicons/fonts/ionicons.woff?v=2.0.0	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/ionicons/fonts/ionicons28b5.woff	(from https://uicookies.com/demo/theme/law/assets/fonts/ionicons/css/ionicons.min.css)
23:40:12	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a614dda-5180a%22	https://uicookies.com/demo/theme/law/assets/fonts/ionicons/fonts/ionicons.svg?v=2.0.0	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/ionicons/fonts/ionicons28b5.svg	(from https://uicookies.com/demo/theme/law/assets/fonts/ionicons/css/ionicons.min.css)
23:40:13	5570/5570	---M--	200	added ('OK')	application/octet-stream	etag:%225a614de3-15c2%22	https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.eot	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.eot	(from https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/flaticon.css)
23:40:13	5570/5570	---M--	200	added ('OK')	application/octet-stream	etag:%225a614de3-15c2%22	https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.eot?	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticond41d.eot	(from https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/flaticon.css)
23:40:17	3600/3600	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225a614de6-e10%22	https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.woff	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.woff	(from https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/flaticon.css)
23:40:17	5392/5392	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225a614de4-1510%22	https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.ttf	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.ttf	(from https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/flaticon.css)
23:40:18	28431/28431	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a614de4-6f0f%22	https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.svg	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/law-icons/font/Flaticon.svg	(from https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/flaticon.css)
23:40:19	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225a614db6-2876e%22	https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css)
23:40:20	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225a614db6-2876e%22	https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfontd41d.eot	(from https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css)
23:40:21	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%225a614dc8-12d68%22	https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css)
23:40:21	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225a614dc2-17ee8%22	https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff	(from https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css)
23:40:22	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225a614dc5-286ac%22	https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.ttf	(from https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css)
23:40:23	145/145	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202019%2020:40:18%20GMT	https://uicookies.com/demo/theme/law/assets/css/ajax-loader.gif	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/css/ajax-loader.gif	(from https://uicookies.com/demo/theme/law/assets/css/slick-theme.css)
23:40:23	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a614dbe-6c7db%22	https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.svg	(from https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css)
23:40:24	2048/2048	---M--	200	added ('OK')	application/octet-stream	etag:%225a614da8-800%22	https://uicookies.com/demo/theme/law/assets/fonts/slick/slick.eot	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/slick/slick.eot	(from https://uicookies.com/demo/theme/law/assets/css/slick-theme.css)
23:40:24	2048/2048	---M--	200	added ('OK')	application/octet-stream	etag:%225a614da8-800%22	https://uicookies.com/demo/theme/law/assets/fonts/slick/slick.eot?	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/slick/slickd41d.eot	(from https://uicookies.com/demo/theme/law/assets/css/slick-theme.css)
23:40:25	1380/1380	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225a614dac-564%22	https://uicookies.com/demo/theme/law/assets/fonts/slick/slick.woff	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/slick/slick.woff	(from https://uicookies.com/demo/theme/law/assets/css/slick-theme.css)
23:40:25	1892/1892	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225a614daa-764%22	https://uicookies.com/demo/theme/law/assets/fonts/slick/slick.ttf	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/slick/slick.ttf	(from https://uicookies.com/demo/theme/law/assets/css/slick-theme.css)
23:40:27	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a614da9-868%22	https://uicookies.com/demo/theme/law/assets/fonts/slick/slick.svg	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/slick/slick.svg	(from https://uicookies.com/demo/theme/law/assets/css/slick-theme.css)
